versao,qnt,,,50,120,,,
1.0.0.RELEASE,1,"0,02",2,,,,1.x.x,50
1.2.2.RELEASE,1,"0,02",2,,,,2.0.x,20
1.2.3.RELEASE,2,"0,04",4,,,,2.1.x,30
1.2.5.RELEASE,1,"0,02",2,,,,,
1.3.2.RELEASE,1,"0,02",2,,,,,
1.3.3.RELEASE,2,"0,04",4,,,,,
1.3.5.RELEASE,1,"0,02",2,,,,,
1.4.0.RELEASE,3,"0,06",6,,,,,
1.4.2.RELEASE,2,"0,04",4,,,,,
1.4.3.RELEASE,1,"0,02",2,,,,,
1.4.4.RELEASE,1,"0,02",2,,,,,
1.5.13.RELEASE,1,"0,02",2,,,,,
1.5.17.RELEASE,1,"0,02",2,,,,,
1.5.2.RELEASE,2,"0,04",4,,,,,
1.5.3.RELEASE,1,"0,02",2,,,,,
1.5.6.RELEASE,2,"0,04",4,,,,,
1.5.7.RELEASE,1,"0,02",2,,,,,
1.5.8.RELEASE,1,"0,02",2,,,,,
2.0.0.RELEASE,2,"0,04",4,,,,,
2.0.1.RELEASE,1,"0,02",2,,,,,
2.0.2.RELEASE,5,"0,1",10,,,,,
2.0.4.RELEASE,1,"0,02",2,,,,,
2.0.5.RELEASE,1,"0,02",2,,,,,
2.1.1.RELEASE,2,"0,04",4,,,,,
2.1.2.RELEASE,3,"0,06",6,,,,,
2.1.3.RELEASE,2,"0,04",4,,,,,
2.1.4.RELEASE,1,"0,02",2,,,,,
2.1.5.RELEASE,4,"0,08",8,,,,,
2.1.6.RELEASE,3,"0,06",6,,,,,
